description,grams
"Lentils, NFS",1.0031500248746994
"Beef, shortribs, barbecued, with sauce, NS as to fat eaten",0.33920625831704854
"Veal cutlet or steak, broiled, lean only eaten",0.36406428017770054
"Veal cutlet or steak, broiled, NS as to fat eaten",0.10712211623538082
"Butter-oil blend, tub",0.15078189583963564
"Chicken, NS as to part and cooking method, NS as to skin eaten",0.2668987925186883
"Chicken, NS as to part and cooking method, skin eaten",0.23991802139899931
"Chicken, NS as to part, baked, broiled, or roasted, NS as to skin eaten",0.25734194840225655
"Chicken, NS as to part, stewed, skin not eaten",0.19819061776775726
"Chicken, NS as to part, sauteed, skin not eaten",0.1510307948715095
"Chicken, NS as to part, fried, coated, skin / coating eaten",0.31259850646012666
"Chicken, NS as to part, baked, coated, skin / coating not eaten",0.528802442356735
"Chicken breast, NS as to cooking method, skin eaten",0.4874113592432394
"Chicken breast, baked or broiled, skin not eaten, from pre-cooked",0.31330308631023485
"Chicken breast, stewed, skin eaten",0.10928440974620202
"Chicken breast, grilled without sauce, skin eaten",0.37564725620651274
"Chicken breast, fried, coated, skin / coating not eaten, from raw",0.849364153999943
"Chicken drumstick, rotisserie, skin not eaten",0.1705410634293969
"Chicken drumstick, baked, coated, skin / coating not eaten",0.23360507960668536
"Chicken thigh, fried, coated, skin / coating not eaten, from pre-cooked",0.10854668177184834
"Chicken thigh, fried, coated, skin / coating not eaten, from fast food",0.1974642849003061
"Chicken wing, rotisserie",0.29246855256399584
"Chicken ""wings"", plain, from precooked",0.13432127041710373
"Chicken, canned, meat only",0.2649036968989549
"Turkey, ground",0.17861467050650504
"Corn, canned, cooked, fat added, NS as to fat type",0.2032612834279135
"Coffee creamer,powder, sugar free, flavored",0.300926308006666
"Egg omelet or scrambled egg, NS as to fat type",0.11277204361910265
"Egg omelet or scrambled egg, made with cooking spray",0.46202406433213383
"Egg omelet or scrambled egg, with dark-green vegetables, no added fat",0.11833408180148552
"Egg omelet or scrambled egg, with tomatoes and dark-green vegetables, NS as to fat",0.2799398178835233
"Egg omelet or scrambled egg, with cheese and tomatoes, NS as to fat",0.1624052853456348
"Egg omelet or scrambled egg, with cheese and vegetables other than dark green and/or tomatoes, no added fat",0.17253974089896928
"Salmon, baked or broiled, no added fat",0.6706779810123464
"Fish, NS as to type, canned",2.2214940023090435
"Salmon, smoked",1.0845382105488355
"Fish stick, patty or nugget from restaurant, home, or other place",0.8125301805192109
"Anchovy, cooked, NS as to cooking method",0.7928881672928259
"Barracuda, steamed or poached",0.1552017503621883
"Carp, steamed or poached",0.4291658335105808
"Catfish, coated, fried, made with oil",0.4957840059102381
"Cod, cooked, NS as to cooking method",0.476501166983212
"Cod, baked or broiled, no added fat",0.67635614781274
"Croaker, cooked, NS as to cooking method",0.12468939711833826
"Croaker, baked or broiled, no added fat",0.25902834759268245
"Flounder, cooked, NS as to cooking method",0.20054160540325938
"Flounder, steamed or poached",0.24344037551866649
"Halibut, cooked, NS as to cooking method",0.18905982914567687
"Whiting, coated, baked or broiled, made with cooking spray",1.0561451714147907
"Whiting, baked or broiled, no added fat",0.7768879690132735
"Mackerel, baked or broiled, fat added",0.4100083660645737
"Mullet, cooked, NS as to cooking method",0.18141233324371342
"Perch, coated, fried, made with oil",0.13355649756494614
"Pike, baked or broiled, no added fat",0.5410290175916543
"Porgy, baked or broiled, fat added",0.5255671294536413
"Ray, cooked, NS as to cooking method",0.29033752190787965
"Ray, baked or broiled, no added fat",1.2772032438784109
"Ray, coated, baked or broiled, fat added",0.3087693035062955
"Shark, coated, baked or broiled, no added fat",0.20005868191841358
"Ray, coated, fried",0.181234927814522
"Ray, steamed or poached",0.2914014051979663
"Salmon, baked or broiled, made with oil",0.3974771712226044
"Trout, steamed or poached",0.10545124787526561
"Sardines, canned in oil",0.23500777540697015
"Sea bass, cooked, NS as to cooking method",0.562051434993549
"Sea bass, steamed or poached",0.2571136837401511
"Sturgeon, cooked, NS as to cooking method",0.12072765116659667
"Tuna, fresh, cooked, NS as to cooking method",0.18342536685462818
"Whiting, cooked, NS as to cooking method",0.14556820157292094
"Tilapia, cooked, NS as to cooking method",0.6901333191088099
"Tilapia, steamed or poached",0.7104319247009272
"Lamb chop, NS as to cut, cooked, lean and fat eaten",0.20850923979764957
"Lamb, loin chop, cooked, lean only eaten",0.23084638418460202
"Goat ribs, cooked",0.48546500844484086
"Rabbit, NS as to domestic or wild, cooked",0.20447143415189828
"Margarine-oil blend, stick",0.10942484438536172
"Cashews, unroasted",0.17153123277946491
"Peanuts, dry roasted, salted",0.3754191157644895
"Peanuts, roasted, unsalted",0.1253913292591946
"Pecans, unroasted",0.11406860574219024
Almond butter,0.10790563859011115
"Pumpkin seeds, NFS",0.11413780446343225
"Sunflower seeds, plain, unsalted",0.11897155912574675
Flax seeds,0.36316994891443244
"Oatmeal, NS as to regular, quick, or instant, fat added",3.2159510538992464
"Oatmeal, NS as to regular, quick, or instant, no added fat",5.943583880686276
"Oatmeal, instant, plain, made with water, NS as to fat",2.0250905283603515
"Oatmeal, multigrain, fat added",1.7196674441361637
"Mustard greens, canned, cooked, no added fat",0.30765116670963266
"Collards, fresh, cooked, fat added, NS as to fat type",0.7173488844465226
"Kale, canned, cooked, fat added",0.19491121819363855
"Greens, fresh, cooked, fat added",0.19820729867010556
"Taro, cooked",2.23703717438557
"Lima beans, from frozen, fat added",0.7238814874215294
"Artichoke, raw",9.69066181085143
"Seaweed, raw",2.2585254323510995
"Artichoke, frozen, cooked, fat added",0.16302025853001112
"Pasta, whole grain, cooked",2.4071276006170095
"Barley, no added fat",5.991607110914821
"Buckwheat groats, NS as to fat",3.4446133529694833
"Millet, no added fat",2.924705280817186
"Quinoa, fat added",0.8889576757404427
"Bulgur, NS as to fat",4.344399952153566
"Pork, NS as to cut, breaded or floured, fried, NS as to fat eaten",0.13212302634180162
"Pork chop, breaded or floured, fried, NS as to fat eaten",0.11785380331339468
"Pork steak or cutlet, NS as to cooking method, lean and fat eaten",0.10311057994467632
"Rice, white, cooked, no added fat",2.4652794696784497
"Rice, brown, cooked, NS as to fat",1.6248441972818384
"Yellow rice, cooked, no added fat",2.9591762944262356
"Rice, wild, 100%, cooked, fat added",1.355445967505986
"Rice, white and wild, cooked, NS as to fat",2.434946106776259
"Clams, baked or broiled, fat added",0.19852725514173386
"Mussels, cooked, NS as to cooking method",0.35104954015885426
